Season,Player,Team,Position,all_rank,evs_rank,gpk_rank,ldg_rank,mdg_rank,hdg_rank,rbd_rank,tmd_rank,gre_rank,qal_rank,bad_rank,awf_rank,fan_rank,Role,GP,TOI,SV%,GAA,xG Against,Goals Against,Age,Date of Birth,Birth Country,Nationality,Height (in),Weight (lbs),Draft Year,Draft Round,Overall Draft Position,Player ID,W,L,OT/SO,Shutouts
2019-2020,Aaron Dell,SJS,G,51.0,51.0,34.0,30.0,54.0,44.0,38.0,36.0,56.0,55.0,56.0,48.0,57.0,Tandem (1B),33,1835.2333333333,0.907,3.01,87.67,92,30,1989-05-04,CAN,CAN,72,213,-,-,-,8477180.0,12,15,3,0
2019-2020,Adin Hill,ARI,G,29.0,22.0,62.0,13.0,5.0,36.0,46.0,27.0,31.0,6.0,7.0,4.0,50.0,Backup,13,640.76666666667,0.918,2.62,29.1,28,23,1996-05-11,CAN,CAN,76,215,2015,3,76,8478499.0,2,4,3,0
2019-2020,Alex Stalock,MIN,G,59.0,58.0,37.0,22.0,59.0,53.0,4.0,2.0,38.0,47.0,48.0,46.0,41.0,Tandem (1A),38,2177.35,0.91,2.67,80.66,97,32,1987-07-28,USA,USA,71,170,2005,4,112,8471774.0,20,11,4,4
2019-2020,Alexandar Georgiev,NYR,G,27.0,38.0,8.0,40.0,44.0,32.0,32.0,57.0,40.0,51.0,52.0,51.0,30.0,Tandem (1B),34,1891.7333333333,0.91,3.04,96.54,96,23,1996-02-10,RUS,RUS,73,178,-,-,-,8480382.0,17,14,2,2
2019-2020,Anders Nilsson,OTT,G,45.0,49.0,24.0,15.0,52.0,52.0,17.0,50.0,35.0,50.0,51.0,47.0,49.0,Backup,20,1093.2666666667,0.908,3.18,49.55,58,29,1990-03-19,SWE,SWE,78,232,2009,3,62,8475195.0,9,9,2,0
2019-2020,Andrei Vasilevskiy,TBL,G,7.0,6.0,18.0,21.0,12.0,23.0,25.0,33.0,7.0,14.0,15.0,22.0,3.0,Starter,52,3124.6333333333,0.917,2.55,124.43,133,25,1994-07-25,RUS,RUS,76,220,2012,1,19,8476883.0,35,14,3,3
2019-2020,Anton Khudobin,DAL,G,5.0,2.0,50.0,8.0,7.0,12.0,21.0,12.0,3.0,2.0,2.0,3.0,11.0,Tandem (1B),30,1677.4833333333,0.93,2.22,65.45,62,33,1986-05-07,KAZ,RUS,71,210,2004,7,206,8471418.0,16,8,4,0
2019-2020,Antti Raanta,ARI,G,9.0,27.0,6.0,3.0,4.0,56.0,65.0,41.0,18.0,9.0,6.0,5.0,15.0,Tandem (1B),33,1822.9,0.921,2.63,85.19,80,30,1989-05-12,FIN,FIN,72,195,-,-,-,8477293.0,15,14,3,2
2019-2020,Ben Bishop,DAL,G,6.0,13.0,11.0,51.0,28.0,6.0,18.0,21.0,8.0,5.0,5.0,9.0,8.0,Starter,44,2474.1833333333,0.92,2.5,107.11,103,32,1986-11-21,USA,USA,79,210,2005,3,85,8471750.0,21,16,4,2
2019-2020,Braden Holtby,WSH,G,56.0,52.0,53.0,37.0,29.0,57.0,57.0,44.0,45.0,31.0,32.0,24.0,43.0,Starter,48,2743.1666666667,0.897,3.11,122.96,142,29,1989-09-16,CAN,CAN,73,215,2008,4,93,8474651.0,25,14,6,0
2019-2020,Brian Elliott,PHI,G,53.0,54.0,57.0,62.0,36.0,38.0,49.0,15.0,17.0,19.0,21.0,40.0,45.0,Tandem (1B),31,1673.9,0.899,2.87,69.93,80,34,1985-04-09,CAN,CAN,74,221,2003,9,291,8470880.0,16,7,4,2
2019-2020,Cam Talbot,CGY,G,43.0,41.0,54.0,42.0,24.0,45.0,51.0,42.0,53.0,30.0,31.0,38.0,40.0,Backup,26,1414.65,0.919,2.67,62.34,63,32,1987-07-05,CAN,CAN,76,201,-,-,-,8475660.0,12,10,1,2
2019-2020,Carey Price,MTL,G,37.0,40.0,23.0,33.0,48.0,35.0,7.0,10.0,42.0,35.0,37.0,29.0,32.0,Starter,58,3439.8166666667,0.909,2.79,141.29,160,32,1987-08-16,CAN,CAN,75,217,2005,1,5,8471679.0,27,25,6,4
2019-2020,Carter Hart,PHI,G,31.0,50.0,40.0,48.0,51.0,29.0,63.0,13.0,13.0,20.0,22.0,20.0,23.0,Starter,43,2355.8333333333,0.914,2.42,96.64,95,21,1998-08-13,CAN,CAN,74,181,2016,2,48,8479394.0,24,13,3,1
2019-2020,Carter Hutton,BUF,G,50.0,42.0,44.0,5.0,50.0,47.0,24.0,35.0,48.0,38.0,38.0,37.0,51.0,Tandem (1B),31,1775.4333333333,0.898,3.18,78.2,94,33,1985-12-19,CAN,CAN,72,211,-,-,-,8475622.0,12,14,4,2
2019-2020,Chris Driedger,FLA,G,1.0,1.0,4.0,1.0,13.0,1.0,2.0,55.0,2.0,4.0,4.0,1.0,2.0,Backup,12,642.66666666667,0.938,2.05,29.85,22,25,1994-05-18,CAN,CAN,76,208,2012,3,76,8476904.0,7,2,1,1
2019-2020,Connor Hellebuyck,WPG,G,13.0,16.0,33.0,24.0,15.0,30.0,52.0,47.0,16.0,17.0,18.0,12.0,12.0,Starter,58,3270.6166666667,0.922,2.57,157.28,140,26,1993-05-19,USA,USA,76,216,2012,5,130,8476945.0,31,21,5,6
2019-2020,Corey Crawford,CHI,G,8.0,5.0,31.0,26.0,47.0,2.0,39.0,65.0,34.0,22.0,24.0,16.0,34.0,Tandem (1A),40,2340.05,0.917,2.77,109.53,108,34,1984-12-31,CAN,CAN,74,216,2003,2,52,8470645.0,16,20,3,1
2019-2020,Cory Schneider,NJD,G,63.0,60.0,46.0,44.0,56.0,59.0,33.0,49.0,62.0,58.0,59.0,64.0,64.0,Backup,13,679.26666666667,0.887,3.53,31.07,40,33,1986-03-18,USA,USA,75,214,2004,1,26,8471239.0,3,6,2,1
2019-2020,Craig Anderson,OTT,G,60.0,55.0,47.0,36.0,63.0,42.0,61.0,58.0,52.0,40.0,42.0,57.0,60.0,Tandem (1B),34,1826.4,0.901,3.29,86.77,100,38,1981-05-21,USA,USA,74,187,2001,3,73,8467950.0,11,17,2,0
2019-2020,Curtis McElhinney,TBL,G,35.0,29.0,48.0,56.0,30.0,14.0,29.0,24.0,50.0,48.0,49.0,27.0,26.0,Backup,18,1080.9333333333,0.906,2.89,47.65,52,36,1983-05-23,CAN,CAN,74,210,2002,6,176,8470147.0,8,7,3,1
2019-2020,Darcy Kuemper,ARI,G,4.0,12.0,12.0,10.0,35.0,20.0,41.0,25.0,4.0,3.0,3.0,2.0,5.0,Tandem (1B),29,1757.6,0.928,2.22,72.85,65,29,1990-05-05,CAN,CAN,77,215,2009,6,161,8475311.0,16,11,2,2
2019-2020,David Rittich,CGY,G,41.0,37.0,20.0,50.0,41.0,24.0,36.0,29.0,39.0,39.0,40.0,35.0,37.0,Starter,48,2791.9666666667,0.907,2.97,125.33,138,27,1992-08-19,CZE,CZE,76,205,-,-,-,8479496.0,24,17,6,2
2019-2020,Devan Dubnyk,MIN,G,61.0,61.0,51.0,28.0,58.0,63.0,10.0,3.0,60.0,49.0,50.0,36.0,54.0,Tandem (1B),30,1664.65,0.89,3.35,64.06,93,33,1986-05-04,CAN,CAN,78,224,2004,1,14,8471227.0,12,15,2,1
2019-2020,Elvis Merzlikins,CBJ,G,17.0,21.0,9.0,2.0,61.0,15.0,16.0,4.0,22.0,13.0,11.0,10.0,14.0,Tandem (1B),33,1880.1333333333,0.923,2.27,69.23,71,25,1994-04-13,LVA,LVA,75,183,2014,3,76,8478007.0,13,9,8,5
2019-2020,Frederik Andersen,TOR,G,32.0,35.0,49.0,17.0,33.0,48.0,8.0,38.0,19.0,27.0,29.0,25.0,17.0,Starter,52,3006.6666666667,0.909,2.85,130.02,143,29,1989-10-02,DNK,DNK,76,238,2012,3,87,8475883.0,29,13,7,3
2019-2020,Henrik Lundqvist,NYR,G,46.0,31.0,61.0,29.0,55.0,13.0,62.0,54.0,33.0,43.0,44.0,44.0,53.0,Tandem (1B),30,1596.7333333333,0.905,3.16,85.4,84,37,1982-03-02,SWE,SWE,73,182,2000,7,205,8468685.0,10,12,3,1
2019-2020,Igor Shesterkin,NYR,G,2.0,4.0,7.0,7.0,45.0,5.0,59.0,66.0,1.0,1.0,1.0,1.0,1.0,Backup,12,691.58333333333,0.932,2.52,36.39,29,23,1995-12-30,RUS,RUS,73,189,2014,4,118,8478048.0,10,2,0,0
2019-2020,Ilya Samsonov,WSH,G,34.0,24.0,22.0,25.0,34.0,27.0,26.0,18.0,14.0,16.0,17.0,6.0,16.0,Backup,26,1411.0333333333,0.913,2.55,58.7,60,22,1997-02-22,RUS,RUS,75,214,2015,1,22,8478492.0,16,6,2,1
2019-2020,Jack Campbell,LAK,G,39.0,34.0,45.0,14.0,31.0,50.0,35.0,14.0,46.0,59.0,60.0,28.0,47.0,Backup,26,1566.9833333333,0.904,2.8,63.92,73,27,1992-01-09,USA,USA,75,207,2010,1,11,8475789.0,11,12,3,0
2019-2020,Jack Campbell,TOR,G,39.0,34.0,45.0,14.0,31.0,50.0,35.0,14.0,46.0,59.0,60.0,28.0,47.0,Backup,26,1566.9833333333,0.904,2.8,63.92,73,27,1992-01-09,USA,USA,75,207,2010,1,11,8475789.0,11,12,3,0
2019-2020,Jacob Markstrom,VAN,G,18.0,20.0,21.0,39.0,19.0,25.0,55.0,61.0,11.0,15.0,16.0,15.0,21.0,Starter,43,2551.8833333333,0.918,2.75,119.93,117,29,1990-01-31,SWE,SWE,78,207,2008,2,31,8474593.0,23,16,4,2
2019-2020,Jake Allen,STL,G,12.0,15.0,25.0,65.0,8.0,7.0,27.0,20.0,5.0,7.0,8.0,18.0,18.0,Backup,24,1341.9833333333,0.927,2.15,54.82,48,29,1990-08-07,CAN,CAN,74,195,2008,2,34,8474596.0,12,6,3,2
2019-2020,James Reimer,CAR,G,33.0,39.0,16.0,19.0,6.0,61.0,48.0,40.0,43.0,23.0,25.0,43.0,28.0,Backup,25,1378.0166666667,0.914,2.66,64.7,61,31,1988-03-15,CAN,CAN,75,205,2006,4,99,8473503.0,14,6,2,3
2019-2020,Jaroslav Halak,BOS,G,14.0,17.0,32.0,46.0,17.0,17.0,3.0,19.0,24.0,26.0,28.0,30.0,9.0,Tandem (1B),31,1833.3666666667,0.919,2.39,74.82,73,34,1985-05-13,SVK,SVK,71,189,2003,9,271,8470860.0,18,6,6,3
2019-2020,Jimmy Howard,DET,G,66.0,59.0,63.0,59.0,27.0,64.0,50.0,62.0,64.0,63.0,64.0,60.0,66.0,Backup,27,1371.5666666667,0.882,4.2,67.28,96,35,1984-03-26,USA,USA,73,218,2003,2,64,8470657.0,2,23,2,0
2019-2020,John Gibson,ANA,G,25.0,25.0,29.0,9.0,39.0,31.0,53.0,60.0,37.0,32.0,34.0,34.0,39.0,Starter,51,2981.2833333333,0.904,3.0,137.48,149,26,1993-07-14,USA,USA,74,210,2011,2,39,8476434.0,20,26,5,1
2019-2020,Jonathan Bernier,DET,G,44.0,33.0,30.0,58.0,32.0,28.0,28.0,37.0,58.0,54.0,55.0,50.0,56.0,Starter,46,2545.9333333333,0.907,2.97,120.96,126,31,1988-08-07,CAN,CAN,72,185,2006,1,11,8473541.0,15,22,3,1
2019-2020,Jonathan Quick,LAK,G,58.0,56.0,60.0,60.0,46.0,41.0,42.0,11.0,57.0,52.0,53.0,52.0,58.0,Starter,42,2516.2333333333,0.904,2.79,107.69,117,33,1986-01-21,USA,USA,73,220,2005,3,72,8471734.0,16,22,4,1
2019-2020,Joonas Korpisalo,CBJ,G,49.0,47.0,26.0,20.0,57.0,39.0,19.0,6.0,41.0,41.0,43.0,32.0,44.0,Tandem (1A),37,2125.9,0.911,2.6,80.92,92,25,1994-04-28,FIN,FIN,75,193,2012,3,62,8476914.0,19,12,5,2
2019-2020,Jordan Binnington,STL,G,11.0,10.0,28.0,55.0,18.0,4.0,22.0,5.0,28.0,10.0,12.0,19.0,7.0,Starter,50,2927.8666666667,0.912,2.58,127.41,126,26,1993-07-11,CAN,CAN,74,172,2011,3,88,8476412.0,30,13,7,3
2019-2020,Juuse Saros,NSH,G,22.0,26.0,13.0,34.0,11.0,37.0,34.0,39.0,12.0,33.0,35.0,39.0,22.0,Tandem (1A),40,2175.6166666667,0.914,2.7,94.99,98,24,1995-04-19,FIN,FIN,71,180,2013,4,99,8477424.0,17,12,4,4
2019-2020,Laurent Brossoit,WPG,G,48.0,36.0,58.0,11.0,25.0,51.0,56.0,43.0,54.0,57.0,58.0,62.0,55.0,Backup,19,987.88333333333,0.895,3.28,47.25,54,26,1993-03-23,CAN,CAN,75,215,2011,6,164,8476316.0,6,7,1,0
2019-2020,Linus Ullmark,BUF,G,28.0,19.0,59.0,12.0,14.0,43.0,1.0,32.0,36.0,25.0,27.0,31.0,31.0,Tandem (1B),34,2027.4,0.915,2.69,83.97,91,26,1993-07-31,SWE,SWE,77,212,2012,6,163,8476999.0,17,14,3,1
2019-2020,Louis Domingue,VAN,G,65.0,66.0,36.0,47.0,53.0,66.0,12.0,46.0,59.0,60.0,62.0,58.0,62.0,Backup,17,802.31666666667,0.882,3.81,36.18,51,27,1992-03-06,CAN,CAN,75,208,2010,5,138,8475839.0,3,9,2,0
2019-2020,Louis Domingue,NJD,G,65.0,66.0,36.0,47.0,53.0,66.0,12.0,46.0,59.0,60.0,62.0,58.0,62.0,Backup,17,802.31666666667,0.882,3.81,36.18,51,27,1992-03-06,CAN,CAN,75,208,2010,5,138,8475839.0,3,9,2,0
2019-2020,Mackenzie Blackwood,NJD,G,24.0,18.0,27.0,35.0,42.0,11.0,20.0,48.0,15.0,29.0,30.0,41.0,25.0,Starter,47,2684.0166666667,0.915,2.77,118.99,124,22,1996-12-09,CAN,CAN,76,225,2015,2,42,8478406.0,22,14,8,3
2019-2020,Malcolm Subban,CHI,G,57.0,57.0,56.0,64.0,40.0,40.0,30.0,17.0,65.0,61.0,61.0,61.0,59.0,Backup,21,1136.0166666667,0.89,3.17,51.86,60,25,1993-12-21,CAN,CAN,74,215,2012,1,24,8476876.0,9,7,3,0
2019-2020,Malcolm Subban,VGK,G,57.0,57.0,56.0,64.0,40.0,40.0,30.0,17.0,65.0,61.0,61.0,61.0,59.0,Backup,21,1136.0166666667,0.89,3.17,51.86,60,25,1993-12-21,CAN,CAN,74,215,2012,1,24,8476876.0,9,7,3,0
2019-2020,Marc-Andre Fleury,VGK,G,36.0,44.0,42.0,45.0,23.0,46.0,45.0,9.0,29.0,45.0,46.0,53.0,20.0,Starter,49,2860.1,0.905,2.79,118.19,133,34,1984-11-28,CAN,CAN,74,185,2003,1,1,8470594.0,27,16,5,5
2019-2020,Marcus Hogberg,OTT,G,52.0,48.0,66.0,16.0,22.0,60.0,66.0,51.0,47.0,24.0,26.0,7.0,61.0,Backup,24,1344.55,0.904,3.12,61.38,70,24,1994-11-25,SWE,SWE,77,222,2013,3,78,8477405.0,5,8,8,0
2019-2020,Martin Jones,SJS,G,54.0,64.0,5.0,66.0,62.0,55.0,40.0,16.0,61.0,62.0,63.0,63.0,52.0,Tandem (1A),41,2340.4166666667,0.896,3.03,106.29,118,29,1990-01-10,CAN,CAN,76,203,-,-,-,8474889.0,17,21,2,2
2019-2020,Matt Murray,PIT,G,38.0,46.0,17.0,38.0,60.0,22.0,23.0,28.0,44.0,46.0,47.0,55.0,35.0,Tandem (1A),38,2237.5,0.899,2.87,87.96,107,25,1994-05-25,CAN,CAN,77,203,2012,3,83,8476899.0,20,11,5,1
2019-2020,Michael Hutchinson,TOR,G,62.0,62.0,38.0,27.0,65.0,62.0,5.0,64.0,66.0,65.0,66.0,65.0,65.0,Backup,16,847.01666666667,0.888,3.47,39.23,49,29,1990-03-02,CAN,CAN,75,201,2008,3,77,8474636.0,5,9,1,1
2019-2020,Michael Hutchinson,COL,G,62.0,62.0,38.0,27.0,65.0,62.0,5.0,64.0,66.0,65.0,66.0,65.0,65.0,Backup,16,847.01666666667,0.888,3.47,39.23,49,29,1990-03-02,CAN,CAN,75,201,2008,3,77,8474636.0,5,9,1,1
2019-2020,Mike Smith,EDM,G,55.0,63.0,10.0,41.0,64.0,58.0,9.0,8.0,51.0,56.0,57.0,56.0,46.0,Tandem (1A),39,2156.85,0.902,2.95,91.57,106,37,1982-03-22,CAN,CAN,77,220,2001,5,161,8469608.0,19,12,6,1
2019-2020,Mikko Koskinen,EDM,G,20.0,23.0,19.0,43.0,20.0,21.0,64.0,59.0,26.0,36.0,39.0,23.0,27.0,Tandem (1A),38,2096.5166666667,0.917,2.78,102.31,97,31,1988-07-18,FIN,FIN,79,202,2009,2,31,8475156.0,18,13,3,1
2019-2020,Pavel Francouz,COL,G,16.0,30.0,2.0,53.0,2.0,49.0,37.0,26.0,10.0,28.0,20.0,33.0,6.0,Tandem (1B),34,1874.4333333333,0.923,2.46,76.89,77,29,1990-06-03,CZE,CSK,72,179,-,-,-,8480925.0,21,7,4,1
2019-2020,Pekka Rinne,NSH,G,42.0,14.0,64.0,54.0,37.0,3.0,6.0,34.0,25.0,34.0,36.0,42.0,33.0,Tandem (1A),36,1987.7666666667,0.895,3.17,84.09,105,36,1982-11-03,FIN,FIN,77,217,2004,8,258,8471469.0,18,14,4,3
2019-2020,Petr Mrazek,CAR,G,47.0,43.0,55.0,52.0,43.0,26.0,14.0,7.0,49.0,53.0,54.0,49.0,29.0,Tandem (1A),40,2320.9833333333,0.905,2.69,102.15,104,27,1992-02-14,CZE,CZE,74,188,2010,5,141,8475852.0,21,16,2,3
2019-2020,Philipp Grubauer,COL,G,19.0,3.0,35.0,18.0,16.0,10.0,58.0,31.0,23.0,18.0,19.0,17.0,19.0,Tandem (1A),36,2057.1,0.916,2.63,87.81,90,27,1991-11-25,DEU,DEU,73,188,2010,4,112,8475831.0,18,12,4,2
2019-2020,Robin Lehner,CHI,G,3.0,8.0,1.0,4.0,10.0,34.0,44.0,63.0,9.0,8.0,9.0,14.0,13.0,Tandem (1A),36,2056.9,0.92,2.89,101.81,99,28,1991-07-24,SWE,SWE,76,250,2009,2,46,8475215.0,19,10,5,1
2019-2020,Robin Lehner,VGK,G,3.0,8.0,1.0,4.0,10.0,34.0,44.0,63.0,9.0,8.0,9.0,14.0,13.0,Tandem (1A),36,2056.9,0.92,2.89,101.81,99,28,1991-07-24,SWE,SWE,76,250,2009,2,46,8475215.0,19,10,5,1
2019-2020,Ryan Miller,ANA,G,23.0,9.0,39.0,49.0,1.0,16.0,47.0,52.0,27.0,42.0,41.0,54.0,42.0,Backup,23,1218.2333333333,0.906,3.15,61.86,64,39,1980-07-17,USA,USA,75,170,1999,5,138,8468011.0,9,6,4,0
2019-2020,Samuel Montembeault,FLA,G,64.0,65.0,65.0,63.0,66.0,9.0,13.0,22.0,63.0,64.0,65.0,45.0,63.0,Backup,14,700.75,0.89,3.34,27.32,39,22,1996-10-30,CAN,CAN,75,214,2015,3,77,,5,5,1,0
2019-2020,Semyon Varlamov,NYI,G,26.0,28.0,14.0,32.0,26.0,33.0,54.0,30.0,32.0,37.0,33.0,21.0,36.0,Starter,45,2536.6833333333,0.914,2.6,110.72,110,31,1988-04-27,RUS,RUS,74,206,2006,1,23,8473575.0,19,14,6,2
2019-2020,Sergei Bobrovsky,FLA,G,40.0,45.0,41.0,61.0,49.0,18.0,60.0,45.0,55.0,44.0,45.0,59.0,38.0,Starter,50,2785.9833333333,0.9,3.25,134.9,151,30,1988-09-20,RUS,RUS,74,182,-,-,-,8475683.0,23,19,6,1
2019-2020,Thatcher Demko,VAN,G,30.0,53.0,3.0,31.0,9.0,65.0,43.0,56.0,21.0,13.0,10.0,8.0,48.0,Backup,27,1529.05,0.905,3.06,75.06,78,23,1995-12-08,USA,USA,76,192,2014,2,36,8477967.0,13,10,2,0
2019-2020,Thomas Greiss,NYI,G,15.0,11.0,52.0,57.0,3.0,19.0,31.0,53.0,30.0,21.0,23.0,26.0,24.0,Tandem (1B),31,1575.9333333333,0.913,2.78,67.86,73,33,1986-01-29,DEU,DEU,74,219,2004,3,94,8471306.0,16,9,4,0
2019-2020,Tristan Jarry,PIT,G,21.0,32.0,43.0,6.0,21.0,54.0,15.0,23.0,20.0,12.0,14.0,13.0,10.0,Tandem (1B),33,1926.4833333333,0.921,2.43,77.48,78,24,1995-04-29,CAN,CAN,74,194,2013,2,44,8477465.0,20,12,1,3
2019-2020,Tuukka Rask,BOS,G,10.0,7.0,15.0,23.0,38.0,8.0,11.0,1.0,6.0,11.0,13.0,11.0,4.0,Tandem (1A),41,2401.7833333333,0.929,2.12,93.52,85,32,1987-03-10,FIN,FIN,75,176,2005,1,21,8471695.0,26,8,6,5
